#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Rybienko_Stare|20160303|Poland|3	Decewicz Dziewit Primer C Wyszkow 20160303	20160303	52.577948,21.429024	C	52.577948	21.429024				Poland	Rybienko Stare		Municipal Wastewater Treatment Plant, Rybienko Stare, 07-200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw										
Baki|20170421|Azerbaijan|2	Cinek primer C sample 363 20170421	20170421	40.4093,49.8671	C	40.4093	49.8671	363			Azerbaijan	Baki				Ondrej Cinek	Univerzita Karlova										
El_Prat_de_Llobregat|20140501|Spain|1	Muniesa E14 El Prat de Llobregat primer C Raw Sewage	20140501	41.3224312,2.0828713	C	41.3224312	2.0828713				Spain	El Prat de Llobregat				Maite Muniesa	Universitat de Barcelona										Raw Sewage
Honolulu|20161212|USA|1	Hawaii C Sand Island Waste Water Treatment Plant Dec 12 2016	20161212	21.307735,-157.8824584	C	21.307735	-157.8824584				USA	Honolulu		1350 Sand Island Parkway # 3A, Honolulu, HI 96819		Olivia Nigro	Hawai'i Pacific University										
Amman|20170421|Jordan|1	Cinek primer C sample 217 20170421	20170421	31.9454,35.9284	C	31.9454	35.9284	217			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Amman|20170421|Jordan|7	Cinek primer C sample 242 20170421	20170421	31.9454,35.9284	C	31.9454	35.9284	242			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Greymouth|20160317|New_Zealand|1	Fineran Primer C	20160317	-42.4921908,171.1071795	C	-42.4921908	171.1071795				New_Zealand	Greymouth		105 Tainui St, Greymouth 7805, New_Zealand		Peter Fineran	University of Otago										
Ostrava|20151201|Czech_Republic|2	Cinek primerC sample 5 20151201	20151201	49.8346453,18.2820442	C	49.8346453	18.2820442	479	Ceske Budejovice	pre-sewage treatment plant	Czech_Republic	Ostrava				Ondrej Cinek	Univerzita Karlova										
Zastavka|20151201|Czech_Republic|1	Cinek primerC sample 19 20151201	20151201	49.1874756,16.3586742	C	49.1874756	16.3586742	343	Ostrava	pre-sewage treatment plant	Czech_Republic	Zastavka				Ondrej Cinek	Univerzita Karlova										
Zerdab|20120810|Azerbaijan|1	Cinek lab sample 328 C 20120810	20120810	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 328_C_intF.ab1 (reversed), 328_C_r.ab1, 328_C_f.ab1 (reversed), 328_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		m								
Shanghai|20160320|China|15	Quan Clone 15 PrimerC 20160320	20160320	31.34,121.51	C	31.34	121.51	15	Shanghai, China	WWTP	China	Shanghai				Zhe-Xue Quan	Fundan University										
Lisboa|20160225|Portugal|6	Santos PrimerC33	20160225	38.7348396,-9.1863262	C	38.7348396	-9.1863262				Portugal	Lisboa		Instituto Superior Tecnico, Laboratorio de Analises, Av. Rovisco Pais, 1049-001 Lisboa		Ricardo Santos	Instituto Superior Tecnico										
Zerdab|20020517|Azerbaijan|1	Cinek lab sample 364 C 20020517	20020517	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 364_C_intF.ab1 (reversed), 364_C_r.ab1, 364_C_f.ab1 (reversed), 364_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		m								
Southbank|20170824|Australia|1	Barr Monash Sample4 PrimerC 20170824	20170824	-37.8274851,144.9527136	C	-37.8274851	144.9527136	4	Melbourne, Victoria, Australia	WWTP	Australia	Southbank															
Davis|20160421|United_States|1	DiazMunoz_Davis1_C	20160421	38.590894,-121.666779	C	38.590894	-121.666779				United States	Davis		City of Davis WWTP, 45452 Co Rd 28H, California 95776, USA	8.659m												
Oswiecim|20160303|Poland|2	Decewicz Dziewit Primer C Oswiecim 20160303	20160303	50.038062,19.321854	C	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
San_Marcos|20151209|USA|1	Edwards Primer C Site 4 20151209	20151209	33.144526,-117.178849	C	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University										
Khartoum|20160302|Sudan|1	Cinek primer C sample 267 20170421	20170421	15.5007,32.5599	C	15.5007	32.5599	267			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160302									
Khartoum|20160311|Sudan|2	Cinek primer C sample 256 20170421	20170421	15.5007,32.5599	C	15.5007	32.5599	256			Sudan	Khartoum				Ondrej Cinek	Univerzita Karlova	20160311									
Carlsbad|20160301|USA|1	Carlsbad Primer C Site 3 20160301	20160301	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201603						3	
Marseille|20151217|France|1	Desnues lab stool 3 primer C 20151217	20151217	43.2888,5.4005	C	43.2888	5.4005				France	Marseille	coordinates are hospital location			Christelle Desnues	Aix Marseille Universite										
Encinitas|20151012|USA|1	Edwards Primer C Site 2 20151026	20151012	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 92007-7077		Rob Edwards	San Diego State University										
Encinitas|20151209|USA|1	Edwards Primer C Site 2 20151209	20151209	33.016467,-117.273686	C	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 92007-7077		Rob Edwards	San Diego State University										
Baki|20170421|Azerbaijan|4	Cinek primer C sample 335 20170421	20170421	40.4093,49.8671	C	40.4093	49.8671	335			Azerbaijan	Baki				Ondrej Cinek	Univerzita Karlova										
Zerdab|20031114|Azerbaijan|1	Cinek lab sample 325 C 20031114	20031114	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 325_C_intF.ab1 (reversed), 325_C_r.ab1, 325_C_f.ab1 (reversed), 325_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		f								
Warszawa|20160303|Poland|2	Decewicz Dziewit Primer C Warsaw 20160303	20160303	52.351351,20.959269	C	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
Carlsbad|20160901|USA|1	Carlsbad Primer C Site 3 20160901	20160901	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University			201609						3	
Bogota|20160412|Colombia|2	Maria Reyes Primer C 20160412	20160412	4.6500014,-74.0589398	C	4.6500014	-74.0589398				Colombia	Bogota		CorpoGen, Cra. 5 #66A-34, Bogota, Colombia 		Alejandro Reyes	Universidad de los Andes					2					
Gatchinskiy_rayon|20160301|Russia|3	Tyakht Spb_105_45P_C primer C	20160301	59.57,30.18	C	59.57	30.18				Russia	Gatchinskiy rayon		Saint-Petersburg, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine										
St_Louis|20140724|crAssphage_C|1	crAssphage Primer C	20140724	38.6487895,-90.3107962	C	38.6487895	-90.3107962				crAssphage C	St. Louis															
San_Marcos|20160901|USA|1	San_Marcos Primer C Site 4 20160901	20160901	33.144526,-117.178849	C	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University			201609						4	
Oslo|20050702|Norway|1	Cinek.Norway.amplicons.T6384_C	20050702	59.9138688,10.7522454	C	59.9138688	10.7522454				Norway	Oslo						20050702		200507	Sanger						
Zerdab|20060505|Azerbaijan|1	Cinek lab sample 351 C 20060505	20060505	40.143105,47.576927	C	40.143105	47.576927				Azerbaijan	Zerdab	Assembly of 4 reads: 351_C_intF.ab1 (reversed), 351_C_r.ab1, 351_C_f.ab1 (reversed), 351_C_intR.ab1			Ondrej Cinek	Univerzita Karlova		m								
Carlsbad|20151209|USA|1	Edwards Primer C Site 3 20151209	20151209	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University										
Amman|20170421|Jordan|4	Cinek primer C sample 237 20170421	20170421	31.9454,35.9284	C	31.9454	35.9284	237			Jordan	Amman				Ondrej Cinek	Univerzita Karlova										
Carlsbad|20151012|USA|1	Edwards Primer C Site 3 20151012	20151012	33.116202,-117.321597	C	33.116202	-117.321597				USA	Carlsbad		Encina Wastewater Authority, 6200 Avenida Encinas, Carlsbad, CA 92011		Rob Edwards	San Diego State University										
