Run ID	Country	Date	Lat Lon
SRR3182140	USA	2014-01-24	38.984652 N 77.094709 W
ERR1018282	China	2012	
SRR789046	United Kingdom	07-Sep-2010	50.9047 N 3.5233 W
SRR3182005	USA	2013-12-18	38.984652 N 77.094709 W
SRR3993002	Mongolia	Jun-2013	47.19 N 110.39 E
ERR210411	Spain	2008-2010	
ERR209602	Spain	2008-2010	
ERR209562	Spain	2008-2010	
ERR210336	Denmark	2008-2010	
SRR3313047	Luxembourg	2012-08-30	49.5 N 6.2 E
ERR480929	Germany	2011/2013	
ERR480472	France	2004/2006	
ERR209487	Denmark	2008-2010	
ERR480638	France	2004/2006	
ERR479339	France	2004/2006	
ERR321086	Denmark	2008-2010	
ERR209273	Denmark	2008-2010	
ERR260493	Germany	2011	
ERR210143	Denmark	2008-2010	
SRR3182141	USA	2014-01-24	38.984652 N 77.094709 W
ERR414269	Denmark	2008/2010	
ERR209374	Denmark	2008-2010	
ERR748458	Germany	2011/2014	
ERR210121	Denmark	2008-2010	
SRR2183688	USA	06-09-2014	
SRR2583985	Canada	2010-07-21	45.50 N 73.63 W
ERR321601	Denmark	2008-2010	
ERR414536	Denmark	2008/2010	
ERR525944	Denmark	2008/2010	
ERR479007	France	2004/2006	
ERR209322	Denmark	2008-2010	
ERR210367	Denmark	2008-2010	
ERR209479	Denmark	2008-2010	
ERR480996	Germany	2011/2013	
ERR1578620	China	2013	
ERR479032	France	2004/2006	
ERR414497	Spain	2008/2010	
ERR414786	Spain	2008/2010	
SRR1621000	USA	2011-09-30	38.984652 N 77.094709 W
ERR479326	France	2004/2006	
ERR1018255	China	2012	
ERR488476	USA	5/7/2009	
ERR525863	Denmark	2008/2010	
SRR2940965	USA	2011-08-23	Not applicable
ERR318680	USA	01/05/2006	
ERR414521	Denmark	2008/2010	
ERR1190555	China	2014	
ERR321132	Denmark	2008-2010	
ERR480915	Germany	2011/2013	
ERR321258	Denmark	2008-2010	
SRR2297847	Finland	2004-03-29	
ERR209109	Denmark	2008-2010	
ERR589858	China	2012	
ERR479462	Germany	2011/2013	
SRR3993053	China	Oct-2010	43.95 N 116.33 E
SRR1237780	Germany	07.03.2013	48_8
ERR1190758	China	2014	
ERR527017	China	2011	
SRR3993055	China	Oct-2010	43.95 N 116.34 E
ERR210046	Denmark	2008-2010	
ERR479520	Germany	2011/2013	
ERR479163	France	2004/2006	
ERR209903	Spain	2008-2010	
ERR209267	Denmark	2008-2010	
SRR3993052	China	Oct-2010	43.95 N 116.32 E
ERR1190532	China	2014	
ERR480827	France	2004/2006	
ERR1190624	China	2014	
ERR209599	Spain	2008-2010	
ERR414324	Denmark	2008/2010	
ERR209825	Spain	2008-2010	
ERR210539	Spain	2008-2010	
ERR748365	Germany	2011/2014	
ERR525967	Denmark	2008/2010	
ERR209372	Denmark	2008-2010	
ERR479474	Germany	2011/2013	
ERR480872	France	2004/2006	
SRR2565542	Canada	2010-04-28	45.50 N 73.63 W
SRR1702231	India	13-Aug-2013	21.15 N 79.09 E
ERR589814	China	2012	
ERR479527	Germany	2011/2013	
ERR481034	Germany	2011/2013	
ERR209631	Spain	2008-2010	
SRR2938332	Peru	15-Jan-2013	
ERR748166	Germany	2011/2014	
SRR2297850	Finland	2004-08-06	
ERR209244	Denmark	2008-2010	
SRR2308827	China	2012-12	34.64 N 119.17 E
ERR748438	Germany	2011/2014	
ERR209437	Denmark	2008-2010	
SRR3992987	Mongolia	Jun-2013	47.55 N 106.82 E
SRR1535329	China	2012	22.55 N 113.24 E
ERR209538	Spain	2008-2010	
ERR209981	Denmark	2008-2010	
SRR1931173	Italy	Apr-2013	44.4950537 N 11.3427401 E
ERR1578622	China	2013	
ERR210623	Spain	2008-2010	
ERR209520	Denmark	2008-2010	
ERR321593	Denmark	2008-2010	
ERR479356	France	2004/2006	
SRR1624850	USA	2012-04-11	38.984652 N 77.094709 W
ERR748388	Germany	2011/2014	
ERR1190809	China	2014	
ERR480568	France	2004/2006	
SRR2183711	USA	07-25-2014	
ERR748106	Germany	2011/2014	
ERR748204	Germany	2011/2014	
ERR321508	Denmark	2008-2010	
ERR321232	Denmark	2008-2010	
SRR2583979	Canada	2010-01-29	45.50 N 73.63 W
SRR2565988	Canada	2010-01-13	45.50 N 73.63 W
ERR525801	Denmark	2008/2010	
ERR589786	China	2012	
ERR210509	Spain	2008-2010	
SRR2940941	USA	2012-08-23	Not applicable
ERR1190615	China	2014	
ERR414414	Spain	2008/2010	
SRR4236669	Japan	2015-05-15	36.2900 N 139.3800 E
ERR748433	Germany	2011/2014	
ERR748455	Germany	2011/2014	
SRR1920163	Croatia	2014	
ERR479167	France	2004/2006	
ERR210154	Denmark	2008-2010	
ERR209389	Denmark	2008-2010	
ERR321465	Denmark	2008-2010	
ERR1190859	China	2014	
SRR1106873	China	2012.11-2.13.5	32056.10""-11336'35.96
SRR4032514	USA	2013	29.77152983140313 N 95.22124444140628 W
ERR209326	Denmark	2008-2010	
ERR453545	Germany	2010-08	
SRR3182042	USA	2014-01-24	38.984652 N 77.094709 W
ERR481086	Germany	2011/2013	
ERR209324	Denmark	2008-2010	
SRR961848	USA	2001	47.66142, -122.26837
ERR209367	Denmark	2008-2010	
SRR3536850	USA	2014-05-01	31.5343 N 89.10706 W
ERR480548	France	2004/2006	
ERR414554	Denmark	2008/2010	
ERR414287	Denmark	2008/2010	
ERR525928	Denmark	2008/2010	
ERR479593	Germany	2011/2013	
ERR210322	Denmark	2008-2010	
SRR2566035	Canada	2010-03-01	45.50 N 73.63 W
ERR481010	Germany	2011/2013	
ERR525764	Denmark	2008/2010	
ERR479223	France	2004/2006	
ERR414505	Spain	2008/2010	
SRR4032471	USA	2013	29.77152983140312 N 95.22124444140627 W
ERR209714	Spain	2008-2010	
ERR209592	Spain	2008-2010	
ERR479224	France	2004/2006	
ERR209792	Spain	2008-2010	
ERR321458	Denmark	2008-2010	
SRR1616988	Germany	03-Apr-2013	48 N 8 E
SRR1144841	China	2013-1-7	31.3N 121.5E
SRR2938606	Peru	21-Aug-2012	
ERR408149	Spain	2012-10-03	
ERR321623	Denmark	2008-2010	
ERR1190931	China	2014	
SRR1624846	USA	2012-04-11	38.984652 N 77.094709 W
ERR1018292	China	2012	
ERR321344	Denmark	2008-2010	
ERR414605	Denmark	2008/2010	
ERR589787	China	2012	
ERR209632	Spain	2008-2010	
ERR321574	Denmark	2008-2010	
ERR480910	France	2004/2006	
ERR479006	France	2004/2006	
ERR479349	France	2004/2006	
ERR1190929	China	2014	
ERR480709	France	2004/2006	
ERR479475	Germany	2011/2013	
ERR1190753	China	2014	
ERR480660	France	2004/2006	
ERR527047	China	2011	
ERR210648	Spain	2008-2010	
ERR527052	China	2011	
ERR1190876	China	2014	
SRR2938115	Peru	26-Jul-2012	
ERR481037	Germany	2011/2013	
ERR321327	Denmark	2008-2010	
ERR321530	Denmark	2008-2010	
ERR527041	China	2011	
ERR1018244	China	2012	
ERR210376	Denmark	2008-2010	
ERR209258	Denmark	2008-2010	
ERR321270	Denmark	2008-2010	
SRR1719985	Luxembourg	11-Jan-2013	
ERR480830	France	2004/2006	
ERR210485	Spain	2008-2010	
ERR479550	Germany	2011/2013	
SRR4423662	USA	2014-06-05	39.288462639338995 N 76.62594594061375 W
ERR1578695	China	2013	
SRR3992985	Mongolia	Jun-2013	47.55 N 106.80 E
ERR209425	Denmark	2008-2010	
SRR4236660	USA	2014-12-22	41.8400 N 87.6800 W
SRR2938609	Peru	15-Jan-2013	
ERR209376	Denmark	2008-2010	
ERR210363	Denmark	2008-2010	
ERR414741	Spain	2008/2010	
ERR321296	Denmark	2008-2010	
SRR4423581	USA	2014-06-03	39.288462639338995 N 76.62594594061375 W
ERR1190654	China	2014	
ERR210107	Denmark	2008-2010	
ERR527130	China	2011	
SRR2183705	USA	07-09-2014	
SRR4074356	Italy	2013	
SRR3100150	Israel	2013-03-21	30.942444 N 35.367059 E
ERR210499	Spain	2008-2010	
SRR2043630	Hong_Kong	Apr-2014	22.15 N 114.10 E
ERR414537	Denmark	2008/2010	
SRR2183694	USA	06-18-2014	
ERR209255	Denmark	2008-2010	
ERR479492	Germany	2011/2013	
ERR321544	Denmark	2008-2010	
ERR1190537	China	2014	
ERR321304	Denmark	2008-2010	
SRR4032584	USA	2013	29.77152983140313 N 95.22124444140628 W
ERR414787	Spain	2008/2010	
ERR209510	Denmark	2008-2010	
ERR748269	Germany	2011/2014	
ERR209430	Denmark	2008-2010	
ERR589753	China	2012	
ERR210172	Denmark	2008-2010	
ERR209628	Spain	2008-2010	
SRR2155330	Germany	May-2011	not applicable
ERR210141	Denmark	2008-2010	
ERR210307	Denmark	2008-2010	
SRR4032508	USA	2013	29.77152983140312 N 95.22124444140627 W
ERR209194	Denmark	2008-2010	
ERR528331	China	2011	
ERR1018277	China	2012	
SRR3313061	Luxembourg	2012-08-17	49.5 N 6.2 E
ERR1190598	China	2014	
SRR2565987	Canada	2010-01-11	45.50 N 73.63 W
ERR748484	Germany	2011/2014	
ERR321614	Denmark	2008-2010	
SRR2297855	Finland	2005-05-29	
SRR2938229	Peru	15-Jan-2012	
ERR748289	Germany	2011/2014	
ERR210675	Spain	2008-2010	
ERR748432	Germany	2011/2014	
ERR321240	Denmark	2008-2010	
ERR748385	Germany	2011/2014	
ERR321305	Denmark	2008-2010	
ERR479592	Germany	2011/2013	
ERR589824	China	2012	
