#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	note	address	altitude	contact	university	sample_date	sex	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Oswiecim|20160126|Poland|4	Decewicz Dziewit Primer B Oswiecim 20160126	20160126	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
North_Fremantle|20170816|Australia|1	Barr Monash Sample5 PrimerB 20170816	20170816	-32.0397544,115.6806686	B	-32.0397544	115.6806686	5	WWTP, Western Australia, Australia	WWTP	Australia	North Fremantle															
Pilsen|20151201|Czech_Republic|2	Cinek primer B sample 13 20151201	20151201	49.7477831,13.3783489	B	49.7477831	13.3783489	512	Brno - Modrice	pre-sewage treatment plant	Czech_Republic	Pilsen				Ondrej Cinek	Univerzita Karlova										
Zastavka|20151201|Czech_Republic|3	Cinek primer B sample 19 20151201	20151201	49.1874756,16.3586742	B	49.1874756	16.3586742	343	Ostrava	pre-sewage treatment plant	Czech_Republic	Zastavka				Ondrej Cinek	Univerzita Karlova										
Lodz|20160303|Poland|3	Decewicz Dziewit Primer B Lodz 20160303	20160303	51.727940,19.347618	B	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Oswiecim|20160126|Poland|3	Decewicz Dziewit Primer B Oswiecim 20160126	20160126	50.038062,19.321854	B	50.038062	19.321854				Poland	Oswiecim		Municipal and Industrial Wastewater Treatment Plant, Nadwislanska 46, 32-642 Oswiecim, Poland		Lukasz Dziewit	University of Warsaw										
New_York|20141214|United_States|1	DiazMunoz_NYC_B	20141214	40.7128,-74.0059	B	40.7128	-74.0059				United States	New York			10.453m	Sam Diaz Munoz	NYU/UC Davis								Pooled sewer samples from 14 locations around New York City. The coordinates are the center of the city		
Dana_Point|20170403|USA|1	BibbyS5_20170403	20170403	33.4669069,-117.6872511	B	33.4669069	-117.6872511				USA	Dana Point		J. B. Latham Plant, 34156 Del Obispo, Dana Pt., CA 92629													
Pakenham|20161213|Australia|1	Barr Monash Sample1 PrimerB 20161213	20161213	-38.1122141,145.4864454	B	-38.1122141	145.4864454	1	Pakenham WWTP, Victoria, Australia	WWTP	Australia	Pakenham															
Vysni_Lhoty|20151201|Czech_Republic|1	Cinek primer B sample 10 20151201	20151201	49.6358083,18.4569128	B	49.6358083	18.4569128	404	Praha	pre-sewage treatment plant	Czech_Republic	Vysni Lhoty				Ondrej Cinek	Univerzita Karlova										
St_Louis|20140724|crAssphage_B|1	crAssphage Primer B	20140724	38.6487895,-90.3107962	B	38.6487895	-90.3107962				crAssphage B	St. Louis															
Escondido|20151026|USA|1	Edwards Primer B Site 1 20151026	20151026	33.105788,-117.114064	B	33.105788	-117.114064				USA	Escondido		Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University										
Honolulu|20161212|USA|1	Hawaii B Sand Island Waste Water Treatment Plant Dec 12 2016	20161212	21.307735,-157.8824584	B	21.307735	-157.8824584				USA	Honolulu		1350 Sand Island Parkway # 3A, Honolulu, HI 96819		Olivia Nigro	Hawai'i Pacific University										
Lodz|20160126|Poland|1	Decewicz Dziewit Primer B Lodz 20160126	20160126	51.727940,19.347618	B	51.727940	19.347618				Poland	Lodz		Group Wastewater Treatment Plant, Sanitariuszek 66, 91-867 Lodz, Poland		Lukasz Dziewit	University of Warsaw										
Novosibirskiy_rayon|20160301|Russia|2	Tyakht Nov_285_B primer B	20160301	55.03,82.57	B	55.03	82.57				Russia	Novosibirskiy rayon		Novosibirsk, Russia		Alexander Tyakht	Federal Research and Clinical Center of Physical-Chemical Medicine										
Encinitas|20160601|USA|1	Cardiff Primer B Site 2 20160601	20160601	33.016467,-117.273686	B	33.016467	-117.273686				USA	Encinitas		San Elijo Joint Powers Authority, 2695 Manchester Avenue, Cardiff by the Sea, California 920077077		Rob Edwards	San Diego State University			201606						2	
San_Marcos|20151026|USA|1	Edwards Primer B Site 4 20151026	20151026	33.144526,-117.178849	B	33.144526	-117.178849				USA	San Marcos		Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069		Rob Edwards	San Diego State University										
Warszawa|20160126|Poland|4	Decewicz Dziewit Primer B Warsaw 20160126	20160126	52.351351,20.959269	B	52.351351	20.959269				Poland	Warszawa		Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03-054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw										
