SRR ID	A_read_depth	A_strains	B_read_depth	B_strains	C_read_depth	C_strains
SRR3501873	2.69294	0	0.858303	0	2.03632	0
ERR748356	2.69745	0	0.402952	0	2.13075	0
SRR2246424	2.70871	0	1.78598	0	1.67877	0
SRR1462032	2.71396	0	2.00517	0	1.76917	0
ERR527046	2.71471	0	2.40148	0	2.89346	0
ERR528313	2.71547	0	1.1476	0	1.55206	0
SRR1765587	2.71697	0	2.58819	0	2.27603	0
SRR1765174	2.71772	0	2.87528	0	1.96852	0
SRR1765423	2.71772	0	2.20959	0	2.19128	0
SRR3713856	2.71922	0	2.56753	0	2.85472	0
SRR1449673	2.72072	0	3.4583	0	2.02098	0
SRR1491575	2.72147	0	2.04649	2	1.81759	0
SRR1491162	2.72523	0	4.57122	0	1.85149	0
ERR414495	2.72823	0	2.031	0	2.0678	0
SRR1449324	2.73123	0	2.05314	0	1.62712	0
SRR2583981	2.73198	0	2.29668	0	1.8975	0
SRR2565539	2.73348	0	3.32915	0	3.5222	0
SRR1437730	2.73949	0	1.78303	0	1.18967	0
ERR321199	2.74925	0	2.4797	0	1.98063	0
ERR321375	2.75	0	3.37048	0	2.88781	0
ERR1293838	2.7515	0	1.45092	0	3.6255	0
SRR1219326	2.7545	0	2.21771	0	2.02825	0
SRR514308	2.75751	0	2.97048	0	1.55206	2
ERR209488	2.75976	0	2.81107	0	1.81275	0
ERR1293899	2.76351	0	2.55055	0	3.52785	0
SRR619895	2.76727	0	1.39041	0	2.79822	0
SRR041660	2.76802	0	1.1786	0	3.38257	0
SRR061121	2.76802	0	1.1786	0	3.38257	0
SRR1490938	2.77027	0	1.6583	0	1.86037	0
SRR1491464	2.77102	0	1.92768	0	1.01291	0
ERR480587	2.77252	0	3.74317	0	2.24697	0
SRR528163	2.77553	0	1.61402	0	3.28894	0
ERR719417	2.77628	0	2.90258	0	3.45198	0
SRR1765172	2.77778	0	3.21476	0	1.5908	0
ERR719455	2.78303	0	2.85461	0	4.32123	0
SRR1765530	2.78679	2	3.06347	0	2.58031	0
SRR1437772	2.78829	0	1.5321	0	1.55044	0
ERR719419	2.79129	0	2.61033	0	4.43745	0
ERR719647	2.7958	0	1.77343	0	3.22276	0
SRR1031434	2.79655	0	1.93875	0	3.89508	0
ERR479421	2.79805	2	3.4428	0	3.1025	0
SRR1449438	2.8018	0	0.918081	0	1.69976	0
ERR209366	2.8048	0	3.37048	0	2.88458	0
SRR1461871	2.80706	0	3.65018	0	1.46731	0
SRR1462726	2.80931	0	3.8059	0	1.76917	0
ERR1137274	2.81532	0	2.98893	0	3.14851	0
SRR528012	2.81682	0	2.90406	0	4.97094	0
SRR1437769	2.82282	0	1.87897	0	1.58918	0
ERR748353	2.82432	0	0.228782	0	1.86521	0
SRR528319	2.82808	0	2.6738	0	2.54318	0
SRR2565537	2.82883	0	3.75277	0	2.6134	0
SRR1490996	2.83108	0	2.0214	0	2.9209	0
ERR1025322	2.83183	0	3.44723	0	2.25989	0
ERR210007	2.83258	0	2.4952	0	2.9096	0
ERR480886	2.83483	0	2.90111	0	2.53914	0
SRR4408004	2.83784	0	0.416236	2	2.82163	0
ERR1137064	2.84234	0	3.90332	0	3.60452	0
SRR585755	2.8491	0	3.43395	0	5.30428	0
ERR479125	2.8506	0	5.2952	0	3.98144	0
ERR1297545	2.85511	0	3.17712	0	2.34221	0
SRR1215812	2.85586	0	3.28339	0	2.16384	0
ERR414680	2.85961	0	2.04649	0	3.60936	0
ERR209546	2.86562	0	2.26863	0	1.75948	0
SRR1616985	2.87012	0	4.3262	0	3.24536	0
ERR209184	2.87312	0	5.28561	0	6.6134	0
ERR480835	2.87763	0	2.38229	0	2.87086	0
SRR1449622	2.87988	0	1.71218	1	2.14851	0
SRR1909515	2.87988	0	2.24133	0	1.30024	0
ERR1137944	2.88213	0	2.84797	0	1.9548	0
SRR1449441	2.88664	0	2.71218	0	1.96287	0
SRR3182130	2.88889	0	1.84354	2	2.12026	0
ERR210418	2.88889	0	2.79631	0	3.18079	0
ERR527025	2.89189	0	2.49815	0	3.13479	0
ERR1297749	2.89414	0	3.69446	0	3.31558	0
ERR719640	2.8964	0	1.77565	0	3.09766	0
ERR1137927	2.89715	0	3.51882	0	2.78773	0
ERR1293898	2.89865	0	2.21107	0	3.25182	0
ERR748355	2.89865	0	0.661993	0	2.00484	0
SRR3182125	2.90165	0	0.786716	0	2.62793	0
ERR748074	2.9039	0	2.29742	0	3.37772	0
ERR719425	2.90916	0	1.21402	0	4.68765	0
ERR480763	2.90991	0	2.35277	0	2.59241	0
ERR748369	2.91667	0	1.98303	0	2.95642	0
ERR719646	2.92643	0	2.12768	0	6.12026	0
ERR480731	2.92943	0	3.73284	0	2.65295	0
SRR2246414	2.93393	0	1.21402	0	2.6255	2
SRR527979	2.94069	0	2.3845	0	3.42776	0
ERR688504	2.94294	0	3.21033	0	3.49556	0
ERR1293901	2.9482	0	1.58745	0	4.26231	0
ERR1137166	2.9482	0	3.50701	0	4.00484	0
SRR1491666	2.9542	0	2.49815	0	2.1929	0
ERR414766	2.95946	0	1.19926	0	3.33091	0
ERR414272	2.96321	0	5.23542	0	1.93947	0
ERR1137328	2.96697	0	4.3262	0	3.39629	0
ERR1293126	2.97072	0	2.07454	0	5.14609	0
ERR1137770	2.97673	0	3.70185	0	1.74657	0
SRR1449810	2.98724	0	2.57343	0	0.80226	0
SRR1491166	2.99099	0	2.94096	0	2.92252	0
ERR1414277	2.99625	0	2.9476	0	2.25182	0
SRR2043635	2.99775	0	1.7572	0	1.66667	0
ERR1137433	2.9985	0	3.84797	0	2.23083	0
ERR260178	3	0	2.63173	0	3.77805	0
SRR1462765	3.0015	0	2.37491	2	2.81033	0
SRR063905	3.003	1	2.83838	0	5.60775	0
ERR479124	3.003	0	4.40812	0	2.85795	0
SRR528399	3.00526	0	2.66273	0	3.06699	0
SRR1980725	3.01652	0	1.4	0	1.5569	2
ERR589843	3.02327	0	2.26863	0	2.28975	0
