#Sequence ID	name	date	latlon	primer	latitude	longitude	sample_number	location	type	country	locality	address	altitude	contact	university	sample_date	sex	note	yearmonth	method	sample	bin_id	sample_processing	Description	site	source
Khartoum|20160304|Sudan|1	Cinek primer A sample 288 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	288			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160304										
Escondido|20160101|USA|1	Escondido Primer A Site 1 20160101	20160101	33.105788,-117.114064	A	33.105788	-117.114064				USA	Escondido	Water Quality Testing, 1521 S. Hale Avenue Escondido, CA 92029, USA		Rob Edwards	San Diego State University				201601						1	
Warszawa|20160126|Poland|4	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw											
Dunedin|20160317|New_Zealand|1	Fineran Primer A	20160317	-45.9062333,170.4858516	A	-45.9062333	170.4858516				New_Zealand	Dunedin	10 Tahuna Rd, Otago 9013, New_Zealand		Peter Fineran	University of Otago											
Amman|20170421|Jordan|4	Cinek primer A sample 237 20170421	20170421	31.9454,35.9284	A	31.9454	35.9284	237			Jordan	Amman			Ondrej Cinek	Univerzita Karlova											
Gava|20151001|Spain|2	Muniesa E2 Gava primer A Raw Sewage	20151001	41.3037013,1.9858569	A	41.3037013	1.9858569				Spain	Gava			Maite Muniesa	Universitat de Barcelona											Raw sewage
North_Kurdufan|00000000|Sudan|4	Cinek lab sample 298 A unknown	unknown	12.862807,30.217636	A	12.862807	30.217636				Sudan	North Kurdufan			Ondrej Cinek	Univerzita Karlova		m	Assembly of 4 reads: 298_A_intf.ab1 (reversed), 298_A_r.ab1, 298_A_intr.ab1, 298_A_f.ab1 (reversed)								
Amman|20170421|Jordan|2	Cinek primer A sample 244 20170421	20170421	31.9454,35.9284	A	31.9454	35.9284	244			Jordan	Amman			Ondrej Cinek	Univerzita Karlova											
Khartoum|20160311|Sudan|1	Cinek primer A sample 256 20170421	20170421	15.5007,32.5599	A	15.5007	32.5599	256			Sudan	Khartoum			Ondrej Cinek	Univerzita Karlova	20160311										
Oslo|20060505|Norway|1	Cinek.Norway.amplicons.T11066_A	20060505	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20060505			200605	Sanger						
Warszawa|20160126|Poland|3	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw											
Apeldoorn|20151106|The_Netherlands|1	Brouns lab primer A 20151106	20151106	52.180646,5.9478529	A	52.180646	5.9478529				The_Netherlands	Apeldoorn	Albert Schweitzerlaan 31, 7334 DZ Apeldoorn, The_Netherlands	36m	Stan Brouns	Delft University of Technology											
Baki|20170421|Azerbaijan|5	Cinek primer A sample 362 20170421	20170421	40.4093,49.8671	A	40.4093	49.8671	362			Azerbaijan	Baki			Ondrej Cinek	Univerzita Karlova											
Oslo|20050926|Norway|1	Cinek.Norway.amplicons.T7664_A	20050926	59.9138688,10.7522454	A	59.9138688	10.7522454				Norway	Oslo					20050926			200509	Sanger						
Gava|20131101|Spain|1	Muniesa E4 Gava primer A Raw Sewage	20131101	41.3037013,1.9858569	A	41.3037013	1.9858569				Spain	Gava			Maite Muniesa	Universitat de Barcelona											Raw Sewage
Warszawa|20160126|Poland|2	Decewicz Dziewit Primer A Warsaw 20160126	20160126	52.351351,20.959269	A	52.351351	20.959269				Poland	Warszawa	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland		Lukasz Dziewit	University of Warsaw											
Waianae|20161212|USA|1	Hawaii A Waianae Waste Water Treatment Plant Dec 12 2016	20161212	21.4467837,-158.1928871	A	21.4467837	-158.1928871				USA	Waianae	Waianae, HI 96792		Olivia Nigro	Hawai'i Pacific University											
Amman|20170421|Jordan|1	Cinek primer A sample 221 20170421	20170421	31.9454,35.9284	A	31.9454	35.9284	221			Jordan	Amman			Ondrej Cinek	Univerzita Karlova											
Rybienko_Stare|20160303|Poland|1	Decewicz Dziewit Primer A Wyszkow 20160303	20160303	52.577948,21.429024	A	52.577948	21.429024				Poland	Rybienko Stare	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland		Lukasz Dziewit	University of Warsaw											
